last_changed,binary_sensor.bayesianbinary,binary_sensor.bedroom_motion_sensor,binary_sensor.blink_armed_status,binary_sensor.blink_blink_camera_percy_motion_enabled,binary_sensor.hall_motion_sensor,binary_sensor.in_bed_bayesian,binary_sensor.living_room_motion_sensor,binary_sensor.living_room_nest_protect_online,binary_sensor.motion_at_home,binary_sensor.workday_sensor
2017-07-23 07:50:19.909649,,,,,False,,,,,
2017-07-23 07:50:33.942525,,,,,,,False,,,
2017-07-23 07:50:37.941826,,,,,,,True,,,
2017-07-23 07:51:03.942081,,,,,,,False,,,
2017-07-23 07:53:19.941149,,,,,,,True,,,
2017-07-23 07:53:34.942364,,,,,,,False,,,
2017-07-23 07:56:48.956275,,,,,,,True,,,
2017-07-23 07:57:17.924472,,,,,,,False,,,
2017-07-23 07:57:23.923644,,,,,,,True,,,
2017-07-23 07:57:48.955941,,,,,,,False,,,
2017-07-23 07:57:52.955025,,,,,,,True,,,
2017-07-23 07:58:23.957480,,,,,,,False,,,
2017-07-23 07:59:01.962442,,,,,,,True,,,
2017-07-23 07:59:11.963722,,,,,,,False,,,
2017-07-23 08:01:32.950895,,,,,,,True,,,
2017-07-23 08:01:45.958500,,,,,,,False,,,
2017-07-23 08:11:03.962210,,,,,,,True,,,
2017-07-23 08:11:49.956107,,,,,,,False,,,
2017-07-23 08:12:23.957076,,,,,,,True,,,
2017-07-23 08:12:33.926893,,,,,True,,,,,
2017-07-23 08:12:41.911894,,,,,False,,,,,
2017-07-23 08:12:41.942067,,,,,,,False,,,
2017-07-23 08:16:28.909133,,,,,True,,,,,
2017-07-23 08:16:32.942319,,,,,,,True,,,
2017-07-23 08:16:37.911888,,,,,False,,,,,
2017-07-23 08:16:41.956795,,,,,,,False,,,
2017-07-23 08:17:17.956797,,,,,,,True,,,
